study_hours,attendance,previous_marks,assignment_completion,sleep_hours,internal_marks,result
2.1,81.7,57.3,71.9,6.9,41.7,Fail
3.1,85.1,78.7,93.8,6.5,60.4,Fail
5.9,64.2,44.5,59.4,6.5,58.2,Fail
7.0,76.9,62.2,45.8,7.4,58.2,Fail
9.4,89.3,52.7,86.1,5.5,56.2,Pass
10.0,88.4,66.7,86.4,4.8,74.0,Pass
6.1,80.5,59.2,83.6,6.4,58.6,Pass
3.1,88.6,87.2,82.3,7.7,95.5,Pass
0.7,83.9,72.6,69.2,8.8,56.7,Fail
5.8,92.4,45.3,89.2,7.7,52.2,Fail
3.5,81.5,75.1,74.2,5.0,72.3,Pass
4.3,73.7,53.4,66.2,6.5,35.9,Pass
3.9,82.0,56.3,69.4,7.1,53.4,Pass
4.9,42.8,69.7,100.0,7.0,76.3,Pass
7.4,82.6,57.6,43.8,7.4,54.9,Pass
5.5,40.0,78.4,84.0,5.7,48.8,Pass
4.9,57.3,53.4,44.8,6.9,43.2,Fail
3.0,83.4,55.7,73.1,7.3,63.1,Fail
1.7,83.7,55.2,67.2,7.8,51.0,Fail
4.2,64.1,56.5,37.5,5.8,39.5,Fail
5.1,69.5,81.5,82.0,6.4,61.0,Pass
8.9,94.4,74.4,68.2,4.0,66.6,Pass
5.5,72.2,90.6,37.2,6.1,67.8,Pass
7.3,100.0,99.0,90.1,6.2,93.9,Pass
4.2,78.0,49.5,100.0,5.6,62.5,Pass
2.7,82.9,66.1,100.0,7.0,63.2,Fail
3.2,97.4,47.4,81.5,6.7,40.3,Fail
3.7,79.6,53.3,75.8,4.1,40.9,Fail
9.7,66.0,55.5,98.9,7.1,69.4,Pass
3.5,76.7,49.1,100.0,5.7,41.8,Fail
7.0,77.6,49.2,95.4,7.4,56.5,Fail
3.3,61.6,62.8,58.1,5.3,52.8,Fail
7.2,74.9,46.7,78.6,6.8,45.6,Fail
6.0,69.1,77.6,82.9,6.5,58.3,Fail
4.9,89.1,51.2,42.4,7.2,48.1,Fail
5.1,78.4,100.0,83.4,6.9,80.2,Pass
3.8,74.6,58.2,100.0,6.5,65.5,Fail
6.1,76.7,66.1,86.5,5.0,67.8,Fail
4.2,80.7,45.6,100.0,5.0,53.4,Pass
2.6,85.4,90.6,78.3,6.1,61.5,Fail
2.5,66.0,81.8,73.7,6.8,51.7,Fail
5.6,65.5,69.5,81.9,6.1,57.3,Fail
8.5,91.3,44.8,60.3,7.6,58.8,Pass
5.5,73.1,68.2,57.7,6.5,60.7,Pass
5.0,61.0,48.2,97.8,5.6,35.8,Fail
5.8,83.3,86.9,99.7,6.5,68.2,Pass
7.9,83.6,77.1,57.2,7.1,77.2,Pass
5.7,59.6,66.4,92.4,7.2,61.7,Pass
4.3,80.8,28.5,73.4,9.1,30.0,Fail
7.5,86.8,50.2,81.1,6.0,77.6,Pass
6.1,82.5,75.3,83.3,,67.0,Fail
8.4,85.6,83.2,92.9,7.3,79.9,Pass
5.6,61.1,81.6,76.5,6.8,68.8,Pass
2.6,82.0,41.1,100.0,6.2,45.1,Fail
2.3,74.4,69.5,80.6,4.9,50.7,Fail
8.7,72.2,80.2,86.2,6.2,90.3,Pass
8.8,88.4,40.1,60.0,5.5,61.6,Fail
4.8,95.8,64.9,100.0,4.7,70.9,Pass
4.4,99.5,69.1,83.5,5.8,68.1,Pass
8.3,93.8,60.5,87.8,5.5,58.5,Pass
2.9,76.7,37.2,46.1,7.5,48.3,Fail
3.3,82.2,60.1,60.2,7.5,45.2,Pass
6.6,87.2,60.1,97.3,5.7,66.2,Pass
4.4,79.5,62.8,80.2,6.5,44.6,Pass
5.2,79.6,56.5,40.6,4.6,34.1,Fail
4.9,87.9,58.4,93.7,6.2,62.1,Fail
5.9,77.3,64.4,65.2,7.3,52.2,Fail
8.2,69.2,71.6,100.0,7.8,54.3,Pass
5.4,73.0,60.4,73.4,5.9,61.0,Fail
6.6,85.6,58.9,78.7,8.1,77.3,Pass
0.9,78.0,66.4,96.2,5.0,66.4,Fail
5.1,82.1,36.2,58.8,5.3,42.1,Fail
3.4,86.0,72.2,57.1,7.7,57.6,Fail
2.6,73.5,65.0,71.5,8.8,60.6,Fail
3.4,87.1,65.6,89.9,7.4,68.5,Fail
4.5,82.5,79.4,51.0,6.8,58.6,Pass
7.1,63.2,35.7,45.0,4.2,43.5,Fail
2.4,95.3,35.4,89.8,4.4,47.6,Fail
5.3,72.0,69.1,64.1,7.0,63.3,Fail
4.2,58.1,64.9,67.9,6.4,52.8,Pass
4.5,65.5,67.6,41.6,5.5,51.7,Fail
7.3,65.7,58.1,62.8,6.9,67.6,Fail
6.3,78.6,75.0,74.9,6.9,75.5,Pass
8.0,74.7,79.0,91.7,7.9,76.5,Pass
4.9,74.0,72.3,61.1,7.0,73.1,Fail
3.7,85.4,61.1,100.0,8.3,56.4,Pass
4.7,82.1,33.4,62.7,6.8,55.8,Fail
5.7,81.8,76.5,62.7,6.7,68.3,Pass
5.6,82.9,83.3,100.0,8.1,98.6,Pass
2.9,85.4,74.7,78.8,5.6,51.4,Fail
5.4,52.7,51.8,65.1,10.0,43.6,Fail
5.7,73.6,75.1,72.2,7.3,67.0,Fail
10.0,51.8,77.9,99.4,7.3,77.4,Pass
9.1,78.4,88.4,100.0,7.4,96.2,Pass
3.4,77.9,51.9,60.3,9.1,42.5,Fail
4.6,90.5,61.6,74.2,7.8,65.2,Fail
2.1,92.3,76.2,76.6,4.9,70.0,Pass
4.0,80.4,65.9,57.2,8.5,60.6,Pass
5.9,72.0,48.2,74.0,6.4,44.3,Pass
7.7,83.8,71.2,75.1,6.9,78.6,Pass
3.7,71.7,73.7,95.5,5.3,72.5,Pass
3.8,78.0,66.3,96.7,7.4,65.4,Fail
0.7,89.8,68.3,69.1,6.0,54.8,Fail
4.9,71.3,61.1,71.1,6.9,57.3,Fail
3.0,87.7,87.2,87.0,6.5,67.5,Fail
4.1,86.1,51.5,64.5,9.1,55.7,Fail
3.4,66.5,56.2,85.6,9.2,52.4,Fail
5.0,89.7,65.2,73.4,6.9,53.3,Fail
1.5,86.4,78.2,57.6,6.9,48.5,Fail
2.1,79.2,42.5,57.8,6.4,35.1,Fail
9.7,68.9,45.3,,8.1,62.9,Fail
2.5,67.7,34.4,72.2,6.4,38.7,Fail
2.9,71.5,65.5,100.0,6.3,60.0,Pass
9.1,84.5,48.2,65.8,8.0,62.0,Fail
10.0,66.5,59.2,80.2,6.2,59.7,Pass
2.7,83.3,74.9,100.0,6.8,75.4,Pass
4.4,63.1,55.4,56.0,4.9,46.7,Fail
5.9,75.6,68.5,40.8,7.6,53.2,Pass
8.8,79.3,60.5,98.2,9.1,71.2,Pass
3.1,100.0,75.1,60.1,7.7,45.7,Fail
4.7,61.5,72.1,74.6,8.6,53.1,Fail
6.8,95.7,54.6,64.5,5.8,65.9,Pass
6.1,79.8,62.5,79.8,7.1,46.8,Fail
4.4,82.9,80.7,57.9,5.7,71.8,Pass
4.9,79.4,70.9,71.8,6.5,73.1,Pass
2.3,83.3,44.0,83.1,7.7,43.5,Fail
4.7,76.2,74.8,56.9,6.9,62.1,Fail
4.6,95.4,48.7,62.4,5.1,60.0,Pass
5.7,72.5,86.2,68.7,5.2,64.3,Fail
4.0,91.6,80.4,49.3,5.1,68.7,Pass
6.2,70.3,69.3,67.4,7.4,55.5,Fail
7.3,77.3,67.4,77.1,9.3,60.5,Pass
5.5,65.1,61.9,67.8,8.4,49.4,Fail
5.9,83.5,75.2,70.1,4.5,67.8,Pass
5.3,95.3,59.4,74.6,8.5,68.2,Pass
5.2,77.1,68.5,63.2,7.9,57.5,Pass
3.7,75.6,78.1,87.4,4.9,53.8,Fail
5.9,64.6,56.6,100.0,6.4,50.1,Fail
5.0,75.2,55.8,66.6,8.1,56.3,Pass
9.6,58.9,47.1,83.7,7.5,72.8,Pass
8.5,67.0,49.0,70.7,5.2,59.2,Pass
6.0,80.7,37.6,81.6,7.5,46.6,Fail
3.6,93.8,75.9,100.0,4.2,73.0,Pass
2.9,100.0,92.1,84.2,6.5,69.3,Pass
7.7,71.0,86.4,43.1,8.2,64.7,Pass
5.8,95.2,40.6,83.2,6.8,44.9,Fail
6.2,80.9,75.9,97.2,6.2,80.9,Pass
1.5,76.2,86.3,71.0,7.9,41.1,Fail
7.1,83.2,58.1,92.9,8.0,69.3,Pass
6.2,78.7,66.5,62.6,8.4,56.1,Pass
2.9,79.3,34.9,48.3,7.8,34.3,Fail
4.2,73.1,69.0,77.5,8.1,72.6,Pass
5.8,61.2,49.0,43.4,7.7,40.6,Fail
5.3,59.5,68.0,70.7,7.1,52.5,Fail
4.6,85.8,41.6,,6.9,50.9,Fail
5.0,74.7,73.1,40.6,6.5,60.2,Pass
4.7,70.8,80.4,52.0,5.3,57.3,Pass
5.5,78.1,53.3,56.4,5.7,39.1,Fail
8.3,87.5,47.9,73.9,6.5,51.2,Fail
0.5,80.2,32.7,68.4,7.1,45.7,Fail
4.7,70.1,61.0,100.0,8.5,59.9,Pass
5.6,92.7,56.3,92.2,6.7,63.9,Pass
5.8,97.0,41.7,83.9,8.0,51.4,Pass
4.4,83.9,71.8,77.6,8.1,56.7,Pass
1.5,89.7,58.3,82.1,6.5,65.4,Fail
5.9,92.9,48.9,59.5,7.5,51.2,Fail
8.8,91.6,56.7,90.4,6.5,62.4,Pass
2.0,85.4,81.1,55.0,8.4,67.3,Pass
7.0,85.2,74.0,90.0,7.6,63.9,Pass
4.5,84.2,63.0,96.4,5.4,56.3,Fail
5.1,64.8,74.3,78.8,7.0,62.2,Pass
3.0,86.4,47.6,71.8,8.8,47.9,Fail
4.5,61.7,65.5,82.2,6.6,59.4,Pass
7.9,68.5,67.2,23.5,7.3,73.0,Pass
6.4,93.6,58.0,80.4,7.5,63.6,Pass
8.8,88.1,71.5,73.0,5.6,50.6,Pass
7.7,95.8,53.3,74.1,7.4,63.0,Pass
6.1,74.7,72.6,87.7,5.1,66.1,Pass
8.9,64.2,73.3,73.7,6.0,68.0,Pass
6.1,75.1,21.2,54.5,8.1,39.7,Fail
6.9,79.2,82.9,72.5,7.2,69.9,Pass
4.6,78.9,20.0,76.2,6.4,37.7,Fail
5.3,91.6,55.8,77.1,7.3,62.2,Pass
3.7,73.7,80.4,77.9,6.7,59.1,Fail
7.3,82.2,60.2,93.7,6.8,56.6,Pass
2.7,66.1,43.0,55.5,7.6,64.7,Fail
6.8,83.4,48.6,78.2,5.9,50.2,Pass
4.8,78.0,80.4,98.2,6.8,69.7,Fail
7.7,69.0,36.2,43.8,6.4,32.9,Fail
6.8,75.2,81.9,78.2,4.9,70.8,Pass
9.0,75.8,64.2,64.5,5.7,56.4,Pass
6.7,74.8,47.1,68.3,8.7,49.0,Pass
1.9,99.3,56.3,58.7,7.3,57.8,Fail
5.1,76.8,49.7,71.9,5.2,55.3,Pass
2.7,75.1,78.0,100.0,5.0,68.6,Pass
4.1,52.8,76.0,52.2,6.7,41.6,Fail
8.4,67.3,39.2,53.9,8.7,63.6,Fail
6.5,74.8,58.9,51.6,6.6,45.5,Fail
3.7,69.8,52.1,100.0,8.4,65.7,Fail
3.1,94.6,84.4,66.7,7.2,73.0,Fail
5.3,76.0,44.7,74.5,7.4,54.5,Fail
2.6,93.5,89.1,67.7,5.2,59.4,Fail
3.8,78.7,64.5,58.0,7.9,55.2,Fail
5.9,78.4,47.6,70.8,6.4,48.2,Fail
7.6,76.9,54.8,100.0,7.8,62.9,Pass
6.5,78.0,53.0,100.0,5.8,57.9,Pass
0.5,98.6,45.9,59.6,7.0,26.0,Fail
5.8,50.2,66.4,86.7,7.2,68.4,Fail
5.4,54.0,46.6,60.0,6.6,45.4,Fail
6.1,71.5,32.3,43.0,7.3,36.6,Fail
8.6,78.2,59.3,93.4,6.5,61.1,Fail
0.9,86.3,38.0,95.9,6.0,46.2,Fail
4.0,83.7,53.7,93.8,8.7,48.3,Pass
6.4,73.4,51.4,66.5,8.1,35.5,Fail
1.9,90.2,51.9,72.0,5.9,51.6,Fail
8.3,90.4,95.0,88.5,7.5,86.0,Pass
6.0,80.2,65.8,82.0,5.9,60.7,Pass
7.0,89.6,68.7,67.9,5.4,55.2,Pass
4.0,81.3,38.4,45.9,8.0,41.8,Fail
6.9,71.3,55.2,77.0,4.8,45.7,Pass
7.4,86.4,68.2,94.4,7.9,60.4,Pass
5.7,79.3,49.6,53.4,6.5,44.1,Fail
5.7,78.0,78.6,86.5,6.5,74.7,Pass
5.8,95.7,47.0,81.0,7.3,52.2,Pass
3.4,48.6,60.7,88.5,7.5,48.9,Fail
4.9,61.0,56.2,90.7,5.8,70.7,Fail
4.9,63.8,67.5,62.5,7.7,59.0,Fail
6.0,73.6,55.4,45.9,6.9,54.2,Fail
7.3,74.9,60.9,65.4,5.3,56.4,Pass
3.0,59.9,61.5,91.0,6.6,49.1,Fail
4.9,66.2,54.0,65.2,8.5,33.4,Fail
8.3,67.7,72.3,62.5,8.8,72.7,Pass
3.6,100.0,68.6,42.2,7.7,59.3,Fail
3.5,99.6,63.7,100.0,5.4,60.4,Fail
5.6,73.1,58.5,89.9,7.4,57.6,Pass
7.0,73.6,76.9,88.9,7.8,75.2,Pass
5.2,64.2,61.5,92.4,7.7,46.2,Pass
8.0,55.1,60.4,85.4,7.7,56.3,Pass
7.0,76.6,66.6,70.6,7.2,53.2,Pass
7.0,66.0,90.4,72.1,6.7,86.1,Pass
6.4,77.0,44.9,67.3,6.1,58.0,Pass
10.0,58.8,76.5,100.0,4.5,56.9,Pass
4.8,68.9,36.6,85.0,7.2,34.0,Pass
1.0,79.8,68.3,66.7,7.0,51.0,Pass
8.6,82.4,88.6,83.4,7.5,73.9,Pass
4.2,83.0,72.3,56.8,5.2,48.1,Fail
5.4,62.2,67.6,100.0,7.6,78.2,Pass
8.0,88.3,56.6,63.1,9.3,62.3,Pass
1.8,68.4,65.5,84.0,6.9,57.4,Fail
2.6,85.6,61.2,94.2,6.7,51.0,Pass
1.8,77.9,53.2,81.9,7.2,54.7,Fail
3.5,61.5,60.7,76.7,9.2,49.5,Fail
6.1,74.2,68.0,75.2,5.6,59.5,Pass
6.3,,53.5,74.0,7.0,61.3,Pass
5.8,85.4,52.9,64.6,5.8,41.1,Fail
2.2,76.3,44.6,66.9,6.1,56.1,Fail
0.5,96.4,70.9,100.0,6.7,60.8,Fail
5.3,90.1,73.2,73.0,8.4,74.5,Pass
4.2,74.9,68.5,60.9,9.0,47.9,Fail
6.2,87.0,79.5,65.7,7.3,59.8,Pass
6.7,100.0,66.3,94.8,6.3,58.8,Pass
5.5,100.0,70.9,87.2,9.8,68.9,Pass
6.8,63.3,69.6,85.1,6.3,64.4,Pass
5.7,66.9,63.6,70.4,6.1,53.7,Fail
6.3,95.8,57.0,85.3,4.7,53.2,Fail
3.7,65.3,98.2,63.4,8.5,58.1,Fail
4.8,62.1,58.2,70.3,8.0,52.5,Fail
5.6,72.2,55.0,92.5,9.7,53.7,Fail
6.9,83.0,71.5,90.7,5.1,62.7,Pass
4.4,76.8,68.8,57.3,8.5,69.0,Fail
6.3,70.2,43.9,,6.9,47.8,Fail
4.6,69.9,81.8,77.0,7.8,75.3,Pass
5.0,69.5,63.6,100.0,4.8,56.6,Fail
6.9,67.4,48.3,40.5,8.6,50.4,Fail
1.0,100.0,82.8,80.0,7.7,62.7,Fail
2.5,81.6,74.4,50.2,6.8,41.7,Fail
2.1,88.6,46.0,63.6,7.6,56.1,Fail
0.5,72.1,91.7,68.4,5.9,60.0,Fail
3.8,75.8,74.9,67.4,6.1,65.7,Fail
6.8,69.4,64.8,65.4,6.2,53.5,Fail
4.6,46.2,88.9,75.1,4.6,63.8,Pass
5.6,61.5,67.4,65.4,7.8,50.7,Fail
7.5,56.3,64.6,48.7,8.2,66.5,Fail
8.0,51.0,55.1,89.0,6.0,61.1,Pass
5.1,63.7,73.7,88.6,7.2,66.1,Pass
8.0,93.9,72.1,90.2,6.5,82.6,Pass
5.4,77.5,65.2,47.3,7.2,64.7,Pass
3.4,93.5,53.2,80.4,6.0,59.5,Fail
4.0,82.9,66.9,87.2,5.7,48.9,Pass
2.1,87.4,64.0,56.4,8.1,45.9,Fail
3.3,67.2,45.0,75.2,6.7,37.6,Fail
4.4,84.3,42.9,72.9,9.2,54.2,Fail
6.9,86.7,73.5,100.0,6.9,72.2,Pass
8.8,71.1,26.0,100.0,5.7,40.0,Fail
2.3,84.7,68.1,45.0,8.3,50.2,Fail
6.0,84.8,57.8,100.0,7.6,50.1,Pass
3.0,71.4,84.6,58.5,7.7,60.4,Pass
6.2,64.5,57.6,92.7,8.2,45.5,Fail
4.9,63.8,74.9,92.5,6.0,68.3,Fail
1.4,79.0,59.0,57.1,6.6,50.1,Pass
7.1,81.9,66.7,83.9,6.6,80.6,Pass
3.9,68.5,76.1,73.1,5.3,67.3,Fail
4.1,78.3,58.1,85.0,6.5,52.2,Fail
3.0,84.8,79.9,79.2,8.4,69.9,Pass
3.8,85.4,50.1,96.5,7.1,43.0,Fail
6.1,96.6,69.4,76.4,5.2,57.6,Pass
4.8,93.3,78.8,72.0,4.9,68.8,Pass
5.9,66.0,74.9,94.7,8.8,49.2,Fail
6.0,98.2,93.7,85.4,6.7,77.2,Pass
8.0,71.6,53.5,88.2,6.0,52.1,Pass
4.5,90.5,44.3,63.0,6.5,49.1,Pass
2.1,78.8,50.1,56.2,5.0,35.6,Fail
7.4,73.1,74.9,64.8,8.5,69.0,Pass
4.5,56.3,72.5,63.8,6.3,57.2,Pass
7.5,75.9,66.5,89.2,8.4,77.2,Pass
6.0,59.3,48.2,92.6,6.9,53.5,Fail
4.9,89.6,76.5,72.2,8.5,58.7,Pass
5.9,96.2,46.6,100.0,7.1,56.2,Pass
9.3,68.4,82.4,99.6,7.8,66.2,Pass
9.6,81.6,100.0,79.4,7.7,87.2,Pass
5.3,69.3,70.5,60.2,7.5,63.4,Pass
5.5,70.5,73.7,100.0,7.2,86.4,Pass
7.5,87.3,57.6,73.9,6.5,55.9,Pass
3.4,77.5,37.8,77.3,9.1,41.9,Fail
5.9,98.9,56.0,68.9,5.7,53.4,Fail
5.1,72.2,48.6,59.0,6.8,50.3,Fail
5.9,90.0,43.3,48.6,6.8,51.2,Pass
3.4,79.2,90.8,86.4,7.3,69.1,Pass
1.9,87.5,69.1,60.9,6.3,62.8,Fail
0.8,72.6,70.7,100.0,7.2,52.1,Fail
2.9,77.4,60.4,55.5,6.6,57.8,Fail
4.2,76.6,62.4,52.4,4.9,57.1,Fail
4.6,68.0,79.5,84.2,6.8,64.7,Fail
9.3,85.9,64.5,100.0,5.5,68.5,Fail
7.5,85.8,73.0,76.2,4.7,87.5,Pass
3.2,85.1,62.1,85.3,7.0,50.1,Fail
5.9,96.4,59.9,41.8,7.4,57.8,Pass
4.3,95.4,43.9,62.8,7.4,42.4,Pass
4.6,73.5,35.3,55.7,7.5,55.6,Fail
5.6,82.5,61.1,40.9,4.5,60.7,Pass
6.5,70.5,65.8,77.1,5.2,55.9,Fail
4.5,78.3,45.7,34.6,9.2,47.3,Fail
7.4,70.8,64.5,51.2,5.5,60.6,Pass
2.8,97.4,65.8,65.3,7.5,52.0,Fail
5.2,82.4,32.7,60.0,6.0,49.0,Fail
10.0,75.4,51.3,82.1,6.9,65.6,Pass
5.7,92.3,71.1,80.5,6.0,67.1,Fail
8.2,52.0,70.8,91.1,7.5,66.2,Pass
5.4,53.8,47.7,88.5,7.0,54.4,Fail
6.4,87.6,67.4,95.5,6.3,68.5,Pass
5.1,78.7,80.3,75.0,5.5,66.5,Pass
4.8,81.0,76.7,80.5,7.1,59.9,Pass
3.6,62.1,63.6,84.2,5.3,68.7,Fail
6.1,,58.0,77.5,7.3,49.6,Fail
3.4,100.0,55.6,67.9,10.0,56.7,Pass
6.6,87.9,72.0,69.0,8.4,62.6,Pass
7.5,80.0,67.9,60.3,7.7,76.8,Pass
6.0,72.7,74.4,82.6,6.7,58.1,Fail
4.6,73.3,67.0,73.3,4.5,52.3,Fail
6.2,52.4,77.3,63.1,5.2,53.8,Pass
4.6,81.1,66.4,63.1,8.3,59.9,Pass
7.2,88.1,76.8,53.2,5.9,55.0,Pass
1.4,59.1,78.1,92.6,6.0,54.7,Fail
4.5,70.1,52.9,76.4,6.6,34.6,Fail
